order_id,product_id,quantity,unit_price
12,9,3,801.26
21,7,5,57.62
11,13,2,239.15
15,12,2,573.88
20,11,2,409.39
22,9,4,166.07
14,6,2,623.56
9,15,1,484.76
17,7,1,964.2
26,7,5,845.12
29,11,2,167.7
21,4,2,894.07
12,8,4,133.75
29,17,2,719.1
29,9,4,779.92
29,13,3,541.06
28,20,3,769.92
17,14,5,557.4
5,13,2,988.15
21,7,2,370.84
24,12,3,701.03
5,6,4,916.49
21,1,5,358.14
16,8,2,994.31
15,3,2,145.96
21,5,1,731.98
3,15,3,296.6
28,7,4,302.39
21,14,4,581.86
10,5,1,553.92
7,19,3,252.94
1,3,2,645.22
27,5,1,702.92
19,11,3,268.54
4,11,5,284.9
25,6,5,707.8
16,10,4,441.1
4,13,1,162.32
14,8,3,722.97
26,2,3,52.97
28,5,2,941.23
24,17,5,95.25
30,15,2,940.27
13,5,3,740.91
6,15,5,920.64
10,18,5,348.9
14,4,3,144.02
14,18,2,231.94
28,5,3,144.3
5,14,2,778.25
