customer_id,order_date,status
12,2025-04-06,Placed
17,2025-03-28,Delivered
18,2025-02-18,Returned
4,2025-06-10,Shipped
13,2025-02-22,Placed
11,2025-03-21,Delivered
4,2025-01-14,Placed
6,2025-05-25,Delivered
7,2025-05-14,Placed
12,2025-04-02,Placed
5,2025-01-11,Returned
1,2025-03-16,Shipped
1,2025-02-06,Placed
10,2025-01-07,Returned
7,2025-03-01,Placed
18,2025-03-13,Delivered
10,2025-03-04,Placed
4,2025-06-12,Returned
2,2025-05-19,Returned
2,2025-06-05,Shipped
3,2025-03-26,Placed
8,2025-04-04,Placed
6,2025-02-23,Returned
13,2025-04-27,Placed
5,2025-03-21,Delivered
6,2025-06-04,Placed
18,2025-06-12,Returned
13,2025-06-10,Placed
11,2025-04-02,Delivered
11,2025-04-20,Delivered
