product_name,category,price,in_stock
Public Elite,Furniture,1395.31,False
Attack Pro,Electronics,145.45,True
Personal X,Electronics,505.88,False
Attention X,Fitness,727.87,True
Rock X,Electronics,853.48,False
Win Plus,Electronics,1166.25,True
Republican Pro,Kitchen,416.96,False
Born Plus,Furniture,134.21,True
Possible Elite,Kitchen,185.57,False
Per Plus,Fitness,217.12,False
Consider Elite,Kitchen,922.79,False
Adult Plus,Furniture,740.2,True
Skill Elite,Kitchen,578.18,False
Way Plus,Toys,143.24,False
Oil Plus,Electronics,930.46,False
Ok Plus,Kitchen,414.47,True
Society Pro,Fitness,1346.96,True
Face X,Toys,1002.47,False
Successful Pro,Toys,308.53,False
Make Elite,Furniture,397.94,False
